Sygnatura czasowa,Czy uważasz się za osobę świadomą ekologicznie? ,"Proszę zaznaczyć działania, które praktykujesz na co dzień podczas dokonywania decyzji zakupowych","Czy uważasz, że społeczeństwo wykazuje się coraz większą odpowiedzialnością i świadomością ekologiczną? ","Czy uważasz, że wykazujesz się wyższą świadomością ekologiczną niż 2-3 lata temu? ",W jakim stopniu Twoim zdaniem produkcja i spożywanie produktów odzwierzęcych mogą wpływać negatywnie na środowisko? ,"Czy słyszał_ś  o pojęciu „fleksitarianizmu”, czyli diety tradycyjnej z nastawieniem na ograniczenie ilości mięsa w diecie? ",Jak często spożywasz produkty odzwierzęce? [Mięso],Jak często spożywasz produkty odzwierzęce? [Wędliny],Jak często spożywasz produkty odzwierzęce? [Nabiał],Jak często spożywasz produkty odzwierzęce? [Jajka],"Jakie są powody, dla których spożywasz mięso i nabiał?  (nie odpowiadać, w przypadku, gdy na pytanie 7 we wszystkich kategoriach zaznaczono odpowiedz „nigdy)",Czy starasz się ograniczać mięso i nabiał swojej diecie lub całkowicie je wykluczasz?,Czy planujesz wykluczyć częściowo lub całkowicie mięso i nabiał oraz inne produkty odzwierzęce ze swojej diety? ,Jeśli w poprzednich dwóch pytaniach zaznaczono odpowiedz „Tak…”: proszę o podanie motywów jakimi się kierował_ś podejmując taką decyzję:,O jakich produktach roślinnych  słyszał_ś lub jakich używasz?,Jak często sięgasz po wszelkiego rodzaju produkty roślinne? ,"Jakie cechy powinny posiadać roślinne produkty będące odpowiednikami mięsa, wędlin lub nabiału, żebyś chciał_  ich spróbować lub wprowadzić na stałe do swojej diety?","Czy uważasz, że obecnie dużo łatwiej jest dostać w sklepach produkty wegańskie i roślinne zamienniki mięsa lub nabiału niż jeszcze parę lat temu? ",Czy na przyszłość oczekiwał_byś zwiększenia ilości dostępnych produktów roślinnych i nowoczesnych roślinnych alternatyw mięsa lub nabiału?,"Czy szerzej dostępne roślinne alternatywy nabiału albo mięsa na półkach sklepowych, w których zazwyczaj robisz zakupy zachęcałyby Cię do częstszego kupowania takich produktów? ",Czy szerzej dostępne posiłki roślinne w restauracjach i kawiarniach zachęcałyby Cię do częstszego próbowania i spożywania takich posiłków? ,Jaki jest Twój dotychczasowy stosunek do posiłków roślinnych i zamienników mięsa? ,Płeć,Wiek,Wykształcenie,Sytuacja zawodowa,Miejsce zamieszkania,Rodzaj stosowanej diety
2022-04-06 12:59:35,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Nie,Raz w tygodniu,Raz na miesiąc,Kilka razy w tygodniu,Kilka razy w tygodniu,"Są łatwo dostępne, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Codziennie,"Przystępna cena, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, Dania roślinne są sycące i odżywcze, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-06 14:21:50,NIe wiem,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",3,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Nie,Raz w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Raz w tygodniu,"Lubię ich smak i konsystencję, Są tanie, Są łatwo dostępne, Są pożywne, Są zdrowe, mają dużo witamin, Z przyzwyczajenia, bo nie znam innych przepisów",Nie,Jest mi to obojętne/Trudno powiedzieć,,"Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne kawałki kurczaka/nuggetsy, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Sery wegańskie, Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych","Tak, dużo łatwiej",Nie mam zdania,Raczej tak,Trudno powiedzieć,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Łatwo jest przygotowywać dania w pełni roślinne, Dania roślinne są sycące i odżywcze, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Mężczyzna,18-25,Wyższe,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-06 15:00:21,Tak,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje",2,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,"Sporadycznie, gdy nie mam dostępu do produktów roslinnych",Nigdy,Raz w tygodniu,Raz na miesiąc,Są łatwo dostępne,Tak,"Nie, ponieważ stosuje już dietę wegetariańską/wegańską, więc nie potrzebuje nic zmieniać",,"Tofu, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec)",Kilka razy w tygodniu,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Łatwo jest przygotowywać dania w pełni roślinne, Dania roślinne są sycące i odżywcze, Są zdrowe i odżywcze",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-06 15:24:39,NIe wiem,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Tak,Raz w tygodniu,Raz w tygodniu,Codziennie,Kilka razy w tygodniu,"Są łatwo dostępne, Ze względu na dietę innych członków rodziny (wspólne posiłki), Z przyzwyczajenia, bo nie znam innych przepisów",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Codziennie,"Przystępna cena, Wartość odżywcza, Powszechna dostępność","Tak, dużo łatwiej",Tak,Raczej tak,Raczej tak,Jest to dieta trudna w utrzymaniu i przygotowaniu,Kobieta,18-25,Średnie,uczę się/studiuję,wieś,Tradycyjna
2022-04-06 15:25:02,Tak,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",4,"Nie, nie zauważył_m u siebie zmiany",3,Nie,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Sery wegańskie, Wegański majonez, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Sporadycznie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Łatwość przygotowania, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych","Tak, dużo łatwiej",Nie mam zdania,Raczej nie,Raczej nie,"Są niesmaczne, posiłki wegańskie są bez smaku, Jest to dieta trudna w utrzymaniu i przygotowaniu, Nie można się tym najeść, Są trudne w przygotowaniu, Są za drogie, Są pełne chemii",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto do 50 tys. mieszkańców,"Mieszanka diet i kuchni z rożnych miejsc świata, zależna od aktualnej temperatury i dostepności składników"
2022-04-06 15:25:31,Tak,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Tak,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety)","Tofu, Kotlety sojowe lub granulat sojowy, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Sery wegańskie, Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Raczej tak,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, Łatwo jest przygotowywać dania w pełni roślinne, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Kobieta,18-25,Średnie,studiuję i pracuję,miasto do 50 tys. mieszkańców,Tradycyjna
2022-04-06 15:26:29,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Nie, nie zauważył_m u siebie zmiany",5,Tak,Nigdy,Nigdy,Nigdy,Nigdy,,Tak,"Nie, ponieważ stosuje już dietę wegetariańską/wegańską, więc nie potrzebuje nic zmieniać","Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Codziennie,"Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, Łatwo jest przygotowywać dania w pełni roślinne, Dania roślinne są sycące i odżywcze",Kobieta,18-25,Wyższe,pracuję,miasto powyżej 100 tys. mieszkańców,Wegańska
2022-04-06 15:28:03,Tak,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Nie, nie zauważył_m u siebie zmiany",3,Tak,Raz w tygodniu,Raz w tygodniu,Codziennie,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",Chęć wypróbowania nowych przepisów,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Przystępna cena, Wartość odżywcza, Powszechna dostępność","Tak, dużo łatwiej",Tak,Raczej tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są zdrowe i odżywcze",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-06 15:33:10,Tak,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Tak,Raz w tygodniu,Raz w tygodniu,Kilka razy w tygodniu,Raz w tygodniu,"Lubię ich smak i konsystencję, Są pożywne, Z przyzwyczajenia, bo nie znam innych przepisów",Nie,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych",Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska),"Tofu, Kabanosy i parówki roślinne, Roślinne burgery lub roślinne mięso mielone, Mleko roślinne (np. sojowe, owsiane), Masło roślinne, kotlety z komosy ryżowej ",Raz w tygodniu,"Przystępna cena, Wartość odżywcza, Łatwość przygotowania, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych","Tak, dużo łatwiej",Tak,Raczej tak,Raczej nie,"Są smaczne, pełne różnych smaków i przypraw, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są za drogie, Są zdrowe i odżywcze",Kobieta,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-06 15:48:47,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",3,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",3,Nie,Kilka razy w tygodniu,Kilka razy w tygodniu,Codziennie,Raz w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Są zdrowe, mają dużo witamin, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,Pasty warzywne kanapkowe (np. wegański smalec),Codziennie,"Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność","Tak, dużo łatwiej",Nie mam zdania,Trudno powiedzieć,Raczej tak,"Jest to dieta trudna w utrzymaniu i przygotowaniu, Nie można się tym najeść, Nie jest to dieta dla mężczyzn ani sportowców",Kobieta,26-35,Wyższe,pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-06 16:17:31,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Kilka razy w tygodniu,Codziennie,Codziennie,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Z przyzwyczajenia, bo nie znam innych przepisów, uzależnienie? jestem nauczona ich jedzenia od dziecka",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu",Sporadycznie,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Raczej tak,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są trudne w przygotowaniu, Są za drogie",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-06 16:43:15,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",3,Nie,Kilka razy w tygodniu,Raz w tygodniu,Codziennie,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki), Z przyzwyczajenia, bo nie znam innych przepisów",Nie,Jest mi to obojętne/Trudno powiedzieć,,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec)",Kilka razy w tygodniu,"Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt, Atrakcyjny wygląd opakowania","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Raczej tak,"To trend, który zostanie na dłużej, Jest to dieta trudna w utrzymaniu i przygotowaniu",Kobieta,18-25,Wyższe,uczę się/studiuję,miasto do 50 tys. mieszkańców,Tradycyjna
2022-04-06 16:58:31,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",3,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",2,Tak,Raz w tygodniu,Raz w tygodniu,Codziennie,Raz w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych","Tak, dużo łatwiej",Nie mam zdania,Raczej nie,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są trudne w przygotowaniu, Są za drogie",Kobieta,18-25,Średnie,uczę się/studiuję,wieś,Tradycyjna
2022-04-06 17:46:15,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",3,Nie,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Są zdrowe, mają dużo witamin, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Zaprzestanie usilnych prób udawania produktów odzwierzęcych","Tak, dużo łatwiej",Tak,Raczej nie,Trudno powiedzieć,"To trend, który zostanie na dłużej, Łatwo jest przygotowywać dania w pełni roślinne, Są za drogie",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
